Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments,Brand,Like rate,Comment rate,Calculated ER,Views per 1K subscribers,Cost per 1K views,Views per dollar,Creator tier,Month,Content theme
2025-05-11,Shoutout to Major Fitness for our garage set up 👊🏻 #womensbodybuilding #ifbbpro #bodybuilding,https://www.youtube.com/shorts/tdFEkL5xSgo,IFBBPRO AMANDA MACHADO,"Fitness,Health","bodybuilding,womensphysique,fitness,health,physique",311,27.0,8720,美国,Mentioned,0.0452,5310,0,24,Major Fitness,0.0,0.004519774011299435,0.004519774011299435,608.9449541284404,58.56873822975518,17.073954983922828,Nano,2025-05,Strength / Training
2025-05-11,Bodybuilding USED To Look Like This,https://www.youtube.com/shorts/qDc1dNtNyss,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.0562,3116381,103660,7153,Major Fitness,0.03326294185467053,0.0022952905950844905,0.03555823244975502,47651.08562691132,0.6311808472712418,1584.33197763091,Mid,2025-05,Strength / Training
2025-05-11,How I Built A DIY Tiny Home Gym From start To Finish,https://www.youtube.com/watch?v=UYoj6z-EkHw,Builders Blueprint,"Vehicle,Life Style,Home,DIY","vehicle,campervan,life style,vanlife,tinyhomebuild",3368,27.0,352000,美国,Suspected,0.1259,2272,106,18,Major Fitness,0.04665492957746479,0.007922535211267605,0.05457746478873239,6.454545454545454,1482.394366197183,0.6745843230403801,Macro,2025-05,Home Gym / Garage Gym
2025-05-10,Army Fitness Test Hand Release Pushup UPDATE #armyfitnesstest,https://www.youtube.com/shorts/Y4WzlIRqlMk,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.1337,1773,77,16,Major Fitness,0.04342921601804851,0.009024252679075015,0.05245346869712352,20.44982698961938,28.20078962210942,35.46,Mid,2025-05,Equipment Review
2025-05-09,DAY 2 | GymBro vs. Pro Soccer Player | full body soccer workout | nutrition changes,https://www.youtube.com/watch?v=2SBU6p3xeM0,Natalie Yoo,Sports,"sports,football,soccer,life,texas",71,27.0,7710,美国,Suspected,0.1416,332,17,3,Major Fitness,0.05120481927710843,0.009036144578313253,0.060240963855421686,43.0609597924773,213.85542168674698,4.676056338028169,Nano,2025-05,Strength / Training
2025-05-09,It Just Gets Worse 🤦🏻‍♂️,https://www.youtube.com/shorts/jNo2TkA4-sA,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.0442,245717,4254,661,Major Fitness,0.017312599453843242,0.0026900865629972694,0.02000268601684051,3757.1406727828744,8.005144129221827,124.9196746314184,Mid,2025-05,Strength / Training
2025-05-08,Major Fitness F22 Pro Power Rack REVIEW (The Best Budget Rack Upgrade of 2025!?),https://www.youtube.com/watch?v=pX5Kq_MKZRs,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.0,67600,美国,Sponsored,0.0142,18399,82,18,Major Fitness,0.004456763954562748,0.0009783140388064568,0.0054350779933692046,272.17455621301775,27.01233762704495,37.02012072434608,Mid,2025-05,Equipment Review
2025-05-07,I’m Officially Retired from the Military... Here’s What’s Next,https://www.youtube.com/shorts/mtmWTdc-A6o,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.2085,1650,104,24,Major Fitness,0.06303030303030303,0.014545454545454545,0.07757575757575758,19.031141868512112,30.303030303030305,33.0,Mid,2025-05,Strength / Training
2025-05-07,NEW Army Fitness Test standards just dropped and they’re no joke ...  #armyfitnesstest,https://www.youtube.com/shorts/x2uqDfcuAOk,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.078,2102,34,13,Major Fitness,0.016175071360608945,0.006184586108468126,0.02235965746907707,24.244521337946942,23.786869647954326,42.04,Mid,2025-05,Equipment Review
2025-05-06,Major fitness pet peeve #enoughisenough,https://www.youtube.com/shorts/1m4zloOJaow,Coach Bronson,"Health,Fitness","health,fitness,keto,over40,groupfitness",96,27.0,11400,美国,Mentioned,0.1068,103,11,0,Major Fitness,0.10679611650485436,0.0,0.10679611650485436,9.035087719298245,932.0388349514564,1.0729166666666667,Micro,2025-05,Strength / Training
