Brand,Promotion type,videos,creators,total_views,avg_views,avg_engagement,avg_cost,avg_cost_per_1k_views
Major Fitness,Mentioned,81,41,573358,7078.493827160494,0.11102098765432097,143.96296296296296,117.71850988937845
Major Fitness,Sponsored,138,14,1235529,8953.108695652174,0.06590217391304348,115.8695652173913,753.5478983698422
Major Fitness,Suspected,285,19,8373642,29381.2,0.13931508771929824,721.2350877192982,166.79485181979103
RITFIT,Sponsored,16,1,585660,36603.75,0.0243,100.0,127.74816567939646
RITFIT,Suspected,137,38,2303341,16812.70802919708,0.16136058394160585,349.2919708029197,156.65289646189854
