Brand,videos,creators,total_views,avg_views,median_views,avg_engagement,estimated_cost,avg_cost_per_1k_views,sponsored,mentioned,suspected
Major Fitness,504,54,10182529,20203.430555555555,3229.0,0.11466666666666667,233203,319.8698751349872,138,81,285
RITFIT,153,38,2889001,18882.359477124184,4027.0,0.14702745098039216,49453,153.63017951732314,16,0,137
